Question,Answer
"Congressman, how should we refer to you today?","Well, I prefer Dean, but, you know, I guess that's"
"Well, you know what?","I'm the big supporter of the Dean machine, already"
"Oh, you know about the Dean machine?","With this gelato, I'm all up on the Dean machine"
"No, you did?","Yeah, I bought it from my ranch"
Are you driving around in this international harvester?,Of course
Were you guys created Belvedere?,Yeah
"He on a napkin created a little matrix and said, if Stoly and Absolute are $15 and they're the most premium in a fast-growing category, why shouldn't there be a $25 vodka and why should this not be it?",So we negotiated with the Polish government
"We're all looking at you like, who is this guy?",This is awesome
"So sorry, this is like mid 90s?","Yeah, I can't remember the year, Chamath"
Did you guys sign him to a deal and pay him money?,"No, in fact, we talked about that"
What is it like to negotiate against LVMH and Bernard Arnaud?,And why do you sell it when it's working
What did you observe there?,What is it like day to day
And what do you think is working and what isn't working?,I wish we had three hours
What?,Give us the assessment of what's happening in the White House right now
"Before we talk about your candidacy, just like, what's going on?","Well, let me just say I respect President Biden"
But do I think that he will be in a position to continue leading this country in the future?,I do not
"But first, just to be clear on Biden, do you believe he's in cognitive decline?",Do the Democrats privately believe he's in cognitive decline
And to what extent?,Do you think he'd make it through the next presidency
Or do you think this is sort of a Ronald Reagan situation where he might look back on it and he's got some early onset of some cognitive decline?,What do you personally think and what do Democrats think
"You asked the question, do others talk about this?","The question is, is anybody not talking about this"
What has been the blowback in the Democratic Party from your declaring?,What do you think
Do you think you're going to be able to get on the ballot as a Democrat in these primaries?,Absolutely
What are the most egregious ones?,Give us an example of what you have to do
How so?,"Explain it to us, like what you have to do"
"So, it's $450,000 to $500,000 to pay consulting firms, to pay people $25, $26 per signature to just sit outside and just say, hey, can we get your signature to get this guy in a ballot?","No, it's not grassroots"
"I'm wondering, have events on the ground now change your view at all?",How do you feel about it today
Do you think it was a mistake not to try and work out a peace deal in those early months of the war?,"If you were president, what would you try and do differently now to try and end this thing"
"If that's the truth, I would first ask, did that include Crimea?","Secondly, it's not a United States decision about whether or not Ukraine should agree to a peace deal"
"So to answer your question, had there been a peace deal at that point that simply would have been, and the deal would have been, will give you your territory back in return for not entering NATO, who in their right mind would say that was a bad deal?",Who in their right mind
"Saks, anything else on foreign policy you want to go to?","Hacking off now would be, I think, a shameful, horrible mistake"
"One is, how do you react to what President Xi said last night?","And then the second is, how do you react to what's happening with this TikTok, Osama bin Laden, Cyop thing that just seems to be, frankly, just getting out of control here"
Do you think TikTok itself is a threat to the United States?,"I wish you, if you were president, ban it or force them to divest and remove the servers in China and the algorithm from China, et cetera"
Do you think it's actually being used for PSYOPs?,I'll make this really simple
So then how would you respond to that sort of counter argument?,I'm just going to say this
"My belief is yes, is it a threat?","Yes, it's a threat"
?,I think that's the kind of thinking Jason and I like
?,This is to me an opportunity for the next generation to say this is nonsensical
"And yes, am I concerned?",Of course I am
I think this question is what do you do about it?,And all I'm saying is we should have the same standard for every platform because the same issue is on every platform
"You're about to say this, but what do you think about what Nikki Haley suggested?",Yeah
"I asked Mark Zuckerberg after a financial service is hearing a couple years ago, you know, why doesn't Facebook just verify accounts, make this so much easier to hold people accountable and have higher standards of accountability?",And he said it would be a competitive disadvantage
So on whom do we rely?,The very lobbyists being paid by the very enterprises that so easily can set the standards if there aren't people of better capacity
Where do you stand on the spectrum of decorum online on one end and free speech on the other?,"Where the absolutists would say absolutely not verified accounts as a non-starter because it just fundamentally undermines the First Amendment and this other thing, which is more organized decorum"
"Where's that intersection between debate, discord and, and comprehensive division?",I don't have the good answer for it right now is the truth
Would I like to see our kids safer and our mental health and emotional health improve and the division reduced and misinformation and disinformation rectified?,"Of course, because I do think- Would you put a minimum age on use of social networks"
"You have kids, would you make it 15, 16 years old?",I think it would be healthier
"Freiber, I know we're going to talk about spending in a second, but just before we get away from foreign policy, I think it's important that we ask what would be your goals with respect to conflict in the Middle East?",What's the strategy you'd enjoy to achieve those goals and who are the people that you'd surround yourself with
Would you send in special forces to collect them?,"I would, absolutely"
Can you actually talk about the border?,Tell us what would you do there
Why make these poor people take their life savings that they have no money?,They're set off in the streets here
How would you decouple that?,Would you be in favor of a point-based system and recruitment of talent to get more talented immigrants in our country
"Why does everything have to be binary, you guys?","Black and white, good or bad"
Yes or no?,It's nonsense
"The only response is, what's wrong with spending?","Like, why do we have the spending problem"
