Question,Answer
You got your quick time going?,"Oh, let me do that real quick. Just a quick note, Sax. Mr. Kennedy doesn't have earpieces in, so we just have to be careful of the cross-talk. We're talking over each other. I'll direct questions to each person, and then follow-ups. You can obviously just use your judgment of when to insert yourself, but be gentle on the insertion there, because we don't want them. That came out wrong. Just be gentle when you interrupt. God. There's your cold open. At least if you did it incorrectly, it'll be quick. Okay, here we go. In three, two... All right, everybody. Welcome to the All-In Podcast. As many of you know, this podcast has gotten quite popular over the last two years, typically in the top 10 or 20 each week, and we talk about politics. We've got a big following in DC."
"Why are you calling me self-absorbed, Chabot?","I mean, listen to how your co-host opens a show. Calm down, everybody. It's okay. Yeah, yeah, go ahead. And as part of that, our ongoing discussions about politics and presidential candidates has resonated in particular communities. And today, we are lucky enough to have one of the top presidential hopefuls in the 2024 election joining us, Robert Kennedy Jr. And we will be inviting all presidential candidates to come on to the All-In Podcast and have candid discussions that are unfiltered. The way the audience would expect them. We're gonna play with different formats, but we decided for this first one, we've got a series of topics we'd like to cover, and we're gonna treat it like any other All-In podcast. With that, I'll have David Sacks, who is the most conservative of our panel, who has been also the most enthusiastic, I think, of everybody here, and one of the most enthusiastic supporters of Robert Kennedy Jr.'s pursuit of the presidency of the United States."
"So with that, David, would you like to introduce our guest?","Yeah, let me give Bobby a proper introduction here. So Robert Francis Kennedy Jr. is entering the political arena as a candidate for the first time at the age of 69, but is perhaps no exaggeration to say that he was destined for the mission he is now pursuing. He is the nephew of President John F. Kennedy, and the son of Attorney General and Senator Robert F. Kennedy. When Bobby was 14, his dad was running for president on a platform of civil rights, civil liberties, lifting Americans out of poverty and opposing the Vietnam War. He had just won the California primary when he was tragically assassinated. RFK Jr. graduated from Harvard and the University of Virginia Law School and became an environmental lawyer who aggressively litigated against corporate polluters and government agencies that were failing to regulate them. He has always put the health and safety of the American people at the forefront of his activism, and this has made him controversial at times as he has questioned the safety of some pharmaceutical products and also criticized COVID restrictions during the pandemic. For this, the mainstream media has tried to paint him as a, quote, conspiracy theorist, but given that so many conspiracy theories about COVID have been vindicated, Tablet Magazine wrote, quote, at this point, the fact that Robert F. Kennedy is the country's leading conspiracy theorist alone qualifies him to be president. But the biggest reason why I think his candidacy is so interesting and relevant is that it harkens back to a Democratic party that believed in peace instead of war, free speech and civil liberties instead of censorship, building up the middle class instead of the donor class, and opposing corporate greed, especially in the military industrial complex, which is a message you just don't hear much anymore coming from the Democratic side of the aisle. So with that, Bobby Kennedy, welcome to the program. Thank you so much for having me. So maybe we could start with foreign policy, something we've discussed here, specifically the Ukraine and Russia's invasion of Ukraine and our support of that war. Sax, would you like to tee up a question for Mr."
Kennedy?,"I think Bobby's tweets on the subject show that he has a really deep understanding of it. He's been saying a lot of things that I've been saying since the beginning of the war, which it, not just the fact that we're risking war or three over getting involved in a country that isn't a treaty ally of the United States, not a violent interest in the United States, but I think your critique goes deeper because you actually understand the causes of how this war started. So maybe, Bobby, you could speak to that."
How did we end up in this proxy war with Russia from your standpoint?,"Well, first of all, let me start by saying this. I supported the humanitarian aid to the Ukraine, which is what we were told initially was the mission, although I had, I was suspicious of it. And my son, as I've mentioned, actually went over, left law school, did not tell us where he was going and went over and joined the foreign legion and fought in the Kharkiv offensive with a special forces group. He was served as a machine gunner. He was in engagements with the Russians. But he feels the same way, essentially, that this is no longer a humanitarian mission. That all the decisions the United States have made since the start have been about prolonging the war, about maximizing the violence of the war, and being absolutely in transigence against the many opportunities to actually settle the war. If you, and that my understanding of the war is that not that Zelensky is pushing this war as hard as he can, but that the neocons in the White House want this war, they want regime change with the Russians, they want to exhaust the Russian armies. This is what this fence secretary Lloyd Austin said in 2022, our objective is to exhaust and to degrade Russian forces so they cannot fight anywhere else in the world. And President Biden acknowledged that one of his objectives in the war is regime change in Russia, removing Vladimir Putin. Well, if those are the objectives, that is the opposite of a humanitarian mission. That is a mission to maximize casualties, to prolong the war. It's essentially a war of attrition, and that's what we're seeing. And the brunt of this is being paid by the flower of Ukrainian youth. There have been over 300,000, this is something that the US government and the Ukrainian government have worked hard to hide, number of casualties, which has been catastrophic. This is the most violent conflict since World War II, that's taken place probably anywhere in the world. And the casualties are enormous, all over 300,000 Ukrainian dead. The Russians are killing Ukrainian, depending on who you believe, at a ratio of five to one to eight to one. Which is the seven to one in the recently leaked, whistleblower leaked Pentagon documents. And the Russians cannot lose this war. We're being told they're losing, they cannot afford to lose this war. This is existential for them. And they have been building up their forces. They have attended to one artillery advantage on us, and this is an artillery war. So it's simply, and we do not have the artillery to replace what we've lost up there. This is a war that is proceeding in a very cataclysmic trajectory. And the answer to your question about how we got in this war goes back a long way. But I would say that the real story starts in 2014, when the US government, and particularly the Neocons in the White House and elsewhere, participated and supported the overthrow, violent overthrow of Kudai-Tah against the democratically elected government of the Ukraine and put in a very, very anti-Russian government. This prompted the Russians, who then believed that the US, Navy was now gonna be invited into the Black Sea to have a ported Crimea. It prompted the Russians to preemptedly invade Crimea. At the same time, the government that came into the Ukraine began enacting a series of laws that turned the Russian populations of the Dombaz region into second-class citizens. They illegalized essentially their culture, their language, and they began ultimately killing them. They killed 14,000 of them. And it prompted a civil war in the country. And the Russian response, which was illegal, I have no sympathy towards Vladimir Putin. Vladimir Putin is a gangster and he's a thug. But his response in the Dombaz was not irrational."
"So I guess the question becomes, if you were elected president, would you stop sending armaments to the Ukraine?","I would immediately have a ceasefire and I would settle the war. And I think it can be settled. I don't even know. I mean, listen, the best settlement for this war was outlined in the Minsk Accords in 2014. The Minsk Accords, which all the European countries agreed upon was when the Russians said, and the Russian people in Dombaz voted to leave Russia and Russia did not want them, Russia said, no, let's develop an agreement which would make Dombaz an autonomous region within the Ukraine, which would agree to not put missile systems in Ukraine, NATO missile systems, which would agree that Ukraine would not join NATO."
"If Zelensky says, no, I wanna keep fighting, would you stop sending US weapons?","I would settle this, I would settle this war. Ukraine cannot fight without US support. So then at some point you would tell Zelensky, if I'm reading into what you're saying correctly, hey, settle it or out. Yeah, I would settle the war. Yeah."
"Meaning, do you think that US foreign policy somehow almost induced this thing to happen?","I just wanna try to understand the boundaries. We have been doing integrative military exercises with the Ukrainian military. So we were actively integrating them into NATO forces. There was no question that, you know, the one thing that Putin said from the outset, this is a red line. You know, when my uncle was president, one of the things that he said, he said a couple of things. He said, number one, the principal job of a president in the United States is to keep the nation out of war. And he succeeded doing that during his term in office. He sent 16,000 military advisors to Vietnam who were not authorized to participate in combat. That didn't mean that some of them didn't. They were not authorized. And in fact, that was fewer federal troops than he sent to get James Meredith into the University of Mississippi. So he sent fewer to Vietnam and two weeks before he died, he signed a national security order and all of those troops home by 1965 with the first thousand to come home that month in November. And he died two weeks later. So, and then of course, Johnson came in and remanded the war and sent 250,000 troops over there, which is what all of my uncle's military advisors wanted him to do. And he stood up to them. One of the other things my uncle said, and you know, the anniversary of his speech at American University, which is an extraordinary speech, probably one of the best in American history, that Jeff Sacks has called the most important speech in American history. It was a speech to the American people. And it was, it's an extraordinary speech because if you read it, it's asking them to put their themselves into the shoes of the Russians and understand that the Russians bore the brunt of World War II. They lost one out of every 13 Russians died in that war. A third of their country was occupied and leveled to the ground. It's like he said, it's as if the entire East Coast of the United States to Chicago was put into rubble. And he described this in detail for the American people to say, you know, we're all people, we're all on an arc, and we need to understand each other's motives and not just vilify each other. And what we're seeing now is this formulae vilification, this narrative that we saw, as Saddam Hussein was, you know, Putin with every little war that we want to get into, those guys are pure evil, we're pure good, and we're going to go rescue, you know, the damsel in distress. Just on that, could you contrast and compare just maybe the last three or four presidents on this very narrow dimension of that, of JFK's promise of what a president should be doing, Bush, Obama, Trump, and now Biden."
"How do you see the things that these guys have gotten right and or very wrong here on that dimension, just on that dimension?","You know, I've been friends with Joe Biden for many, many years. Joe Biden is, you know, he's a go-to-war guy. He was one of the strongest supporters of the Iraq or he's been supportive of every war that's come along. And that, you know, I think that's one of the reasons that, you know, some of those, that portion of the Democratic Party, which is a very, very powerful kind of King Pickers, was very happy with him getting an office is that he never says no to a war. I think Trump, you know, I liked a lot of what Trump said about foreign policy, about disentangling us from this knee-jerk reaction of, you know, of constant wars and that the cost that that imposes on our country, what it's doing, it's hollowing out our middle class. But then Trump did a lot of things, including walking away from the, you know, from the intermediate nuclear missile treaty, which is, was another provocation for Russia, because that treaty, you know, we're putting these intermediate missile systems all along the Russian border and Romania and Poland and, you know, and in Ukraine. And that those missiles can hit Cuba, I mean, can hit Moscow in a few minutes. So there was a very destabilizing system. We all signed it and he walked away from it. And I don't think that was a, I think that was another provocation. We should be de-escalating these provocations though. You know, the why it did NATO, this is what George Cannon said after, you know, the Soviet Union collapsed."
Why don't we do a Marshall plan for Russia?,"We won the war. They are the losers. They admit they're the losers, but they want to join the European community. Let's make that easy for them. Let's not continue to treat them as if they're the enemy, because that is a self-fulfilling prophecy. And that unfortunately is what we did. Let's pivot then. You want to contain and you would force everybody to the table to a resolution, if I'm understanding correctly. You weren't explicit in terms of would you remove support, but I think we can infer from it, you would have a point at which you would stop sending armaments to Ukraine. We have tremendous moral pressure and economic pressure and everything else on Ukraine."
