Question,Answer
" Congressman, how should we refer to you today?","Well, I prefer Dean, but, you know, I guess that's... Let's go with Dean. Let's go with that, Mr. Phillips. And just, I'm asking people to be keen on Dean, so it might as well run with it. Ooh, there you go."
"Well, you know what?","I'm the big supporter of the Dean machine, already."
"Oh, you know about the Dean machine?","With this gelato, I'm all up on the Dean machine. By the way, I bought an old international harvester Metro van for 20s when we did activations like South by Southwest and... I used to own one of those, by the way."
"No, you did?","Yeah, I bought it from my ranch. Come on. It's great. I love that, baby. So I bought one for Tlenti, and I saw how people just immediately were attracted to it and fell in love with it. And I thought, hey, when I ran for Congress, I'm going to do the same thing. So I created the government repair truck."
Are you driving around in this international harvester?,"Of course. You're kidding. Yeah. Awesome. I'll show you. I'll send you a picture of it. It's cool. It's awesome. It's got a 1980 Chevy chassis under it, but it's still the basic nuts and bolts. Zach, we're referring to a type of automobile. You can ask one of your three drivers about it, David. Don't worry, David. Your driver can take you in there. Ask your Miami driver. He probably owns some muscle cars. I don't think your LA driver owns muscle cars. Here we go. Let's start this. Three, two... I love you, guys. I'm the queen of Kenwa. I'm going all in. Hey, everybody. Hey, everybody. Welcome to the All In The West. I'm the queen of Kenwa. I'm going all in. Hey, everybody. Hey, everybody. Welcome to the All In Podcast with us again today, the dictator himself, Chamarroph, Polyhapitia, the rain man, David Sacks, and the sultan of science, David Friedberg. We are going to continue our conversation series with presidential candidates today. Our fourth presidential candidate is on the program. Dean Phillips represents Minnesota's third district. He's about 25 years younger than Trump and Biden at 54 years old. Dean, before getting into politics, I understand you were the CEO of your family's spirits business and you ran Talenti Gelato. Oh, that pistachio flavor. Amazing. So, welcome to the All In Podcast. Meet the other besties. And maybe you could just start out by telling us why you are running for president. Yeah. Well, I'll tell you, after being in the vodka business and the ice cream business and actually the coffee business, I think I understand at least what Americans want. So that's a good start. Well, I'll tell you a little about my background and why I'm here. I lost my dad in the Vietnam War when I was just six months old. He had grew up with no money in St. Paul, Minnesota, earned an ROTC scholarship on behalf of the federal government, of course, to pursue his education. Went to Vietnam in 1968 just before I was born, got to see the U.S. land on the moon. And I think regularly about how he looked up two days before his helicopter crashed and he died. Looked up and saw Americans on the moon and looked down and saw America at its worst. And literally that experience in no small way is what brings me to this day. And I was six months old. My mom was 24 and widowed and we moved in with my great grandparents for the first three years of my life. And I got lucky. When I was three, my mom married a wonderful, extraordinary man who adopted me, Eddie Phillips, brought me into a family of great blessings. My grandmother became Dear Abby and my aunt Anne Landers, so I grew up in a family of a lot of advice. And I've lived on both sides of the advantage and I recognize it. I remember the day I turned 26 and I counted the days that my father had lived, my birth father. And I remember the day after I had lived as many days as him. My life changed forever. And I became inspired, joined our family business after college, ended up running our beverage business. We created Belvedere Vodka, which we sold to LVMH and then got into the ice cream business and did the same thing."
Were you guys created Belvedere?,"Yeah. My father and I and our partner Steve Gill went on a trip to Poland in 1993 hoping to sell them Philip's Schnaps, which we made in Minnesota. We thought Eastern Europe was ready for peppermint and peach schnapps. And we were touring distilleries and we see both in duty-free in the airport and in the distilleries, the most beautiful packaging we had ever seen in the spirits business. And now, mind you, this is when absolute and Stoly were like the pinnacle of luxury. Right. A $15 average now. Yeah. And my father immediately, yeah, sat at a restaurant that night, literally, this is a literal napkin story."
"He on a napkin created a little matrix and said, if Stoly and Absolute are $15 and they're the most premium in a fast-growing category, why shouldn't there be a $25 vodka and why should this not be it?","So we negotiated with the Polish government. Our partner, Tad Dorda, from Poland helped us. And we first obtained the distribution rights. And then when Poland privatized their spirits industry, we acquired the distillery and the IP, and the rest was history. And Cork finished beautiful bottle. We sold it. We talked about the lowest common denominator, the pens we used to write the orders, the way we carried it, made all the difference in the world. And then we used that same template in ice cream because what we found is in every category, consumer product category in which there are two main competitors, Coke and Pepsi, Stoly Absolute, Ben and Jerry's and Haagen-Dazs, they tend to fight to the bottom, lower pricing, you know, frankly, demeaning consumers. And there's always an opportunity to introduce something a little bit more premium, a little bit more special that's still an affordable luxury. And Belvedere, by the way, was built by Jay-Z. I can tell you that story if you want to hear it. It's an extraordinary one. Yeah, yeah. Tell that story, too. Yeah. You're our kind of candidate. We're like, yeah, you just got to vote, apparently."
"We're all looking at you like, who is this guy?","This is awesome. So when people ask me about my platform, I'll say I'll be a storyteller about vodka. I'm ready to start popping bottles over here. By the way, that's exactly what Jay-Z did. Sax and I popped many a Belvedere bottle when we had our run in LA. True or not true, Sax. It was a tough choice between Belvedere and Grey Goose. Oh, I'll tell you that story, too, by the way. So we introduced Belvedere and it and by the way, what we learned in hindsight is that our aperture was way too small. You know, we were way too, we sold it by the bottle, not by the case. We only went to restaurants and bars at first, not to the big stores. We wanted it to be special and we completely underestimated the size of what this category could be. Sydney Frank, who introduced Grey Goose, took a much bigger approach. Anyway, so I'm sitting at home getting ready for work one day. I have MTV on and it's probably a year after we introduced Belvedere. It's doing well, but not not big."
"So sorry, this is like mid 90s?","Yeah, I can't remember the year, Chamath. It's probably, you know, 95, yeah, 90s thereabouts. Watching MTV, I see a Jay-Z video and it is all Belvedere. It's in the fridge, he's holding it, people dancing, he's pouring it on him and I froze, called my dad immediately who of course didn't have MTV on and I said, you got to turn it on. He couldn't find the channel. MTV repeats the same videos, you know, five, 10 times a day. So we got to the office and sure enough, we had the TV on. It came back on, the whole company gathered at that time, we were probably 10 people and we gathered around the TV and watched this video and I'm telling you guys, within two weeks, the brand completely popped. And my dad, Jay-Z ended up calling my father. They had a dinner in New York City, a memorable one for both. Actually he ended up introducing a vodka some years later called Armadale. And it failed miserably. But it was one of the first times that I think in this new culture of influencers and celebrity endorsers that that magic happened. He almost literally made Belvedere. So that's the story."
Did you guys sign him to a deal and pay him money?,"No, in fact, we talked about that. And the court, so this is the brand foundation of the brand house was authenticity. We didn't do a damn thing that had anything to do with anything that wasn't true. The makers of it, the product itself, we didn't pay people to talk about it, unlike Sidney Frank with Grey Goose. So we chose not to. It was all natural. And then here's the other cool thing. And this is how my campaign is going to work. We sent 200 bottles in very special, beautiful boxes to 200 influencers. We believe that if we could simply seed the brand with 200 people all around the U.S. that they could be the content makers and the advocates, the ambassadors. In fact, one of them went to this guy right behind me, Bill Clinton. And Robert De Niro, another example, Robert Redford, you know, leaders of the industry and actors and the like. Robert De Niro gets one of these things. And there's a note inside with a picture of the distiller, Bogdan Zalensky. It said, watch page three, the Tiffany section, I'm sorry, the Tiffany location of the Wall Street Journal on, call it, it was like Monday, February 6th. Only 200 people knew what was coming. The ad in the paper didn't show a bottle of anything. It just said Belvedere. Bogdan wants to know how you like it. So we literally did an ad that cost, gosh knows, back then, probably $100,000, tiny little top corner ad that spoke to 200 people in the United States of America that had no idea if nobody else knew what it was. Robert De Niro goes to the Beverly Hills Hotel or the peninsula, I can't remember. Orders of Belvedere Martini soon thereafter. The barman says, Mr. De Niro, we have absolute, we have Stoly, I don't have that brand. And he says, I don't think you heard me. I want a Belvedere Martini. So the barman sends like the bar back to whatever the wine and spirit shop is on Rodeo Driver and Beverly Hills. And the guy comes back with a bottle and the entire bar, watch this little episode. And I'm telling you once again, within a week, that store was selling through Belvedere like it was water. So these little moments where you identify the right people and I mind you, this is in the analog era. There was no internet. There was no social media. This was people simply talking to people. So we sold Belvedere to LVMH and then we looked at the ice cream category. So Ben and Jerry's doing the same thing. If you can tell us about that."
