Topic,Sub-topic,Speaker,Question,Answer
Candidate Questioning,Introduction,Candidate Vivek Ramaswamy,"We should go All right, Vivek Ramoswamy is finally on the program. He's an entrepreneur. He graduated Harvard Yale all that kind of stuff. He was an entrepreneur then a capital allocator I think broad strokes everybody knows he's a conservative Running as a republican. He's anti woke. He's pro life anti affirmative action pro free speech And he wants federal government term limits and his fans are lunatics They've been asking for him to be on the all-in podcast every day I've gotten about 300 emails from your fans. Welcome to the program", They sound like your fans actually because I hear it all the time It's like blaming me for why I have not been on this program And so you guys this has been like some sort of idealized experience for me.  
Candidate Questioning,Background in business,Candidate Vivek Ramaswamy,"I'm looking forward to it Okay, great. So what we try to do here is have a real conversation try to get these candidates off their talking points So this isn't meet the press obviously want to talk to you like a human being So the extent that you know as a politician now you can talk like a human being the audience and we would appreciate it Meet David sacks Tramath Paliappatea and David Friedberg All right, Vivek, why don't you explain maybe your background as a capital allocator and as an entrepreneur and then why you chose to run for president at this time","Yeah, sure. I mean my parents like many people you probably also know who have had similar success stories They came to this country with almost no money I went on to actually found successful companies and so I started my career As a biotech investor. I worked at a hedge fund in New York when I graduated in 2007 I thought I was going to be a scientist. I studied molecular biology Ended up enjoying my time as an internship. It had a hedge fund a lot more than that. So I did that for seven years Three of those years I spent law school at the same time But then when I finished law school, I had you know, I think felt like my learning curve had flattened from being a pure capital allocator So I stepped down and founded a new kind of biotech company that I could Actually, you guys might be more interested in it than most of my political audiences But the basic premise was give scientists skin in the game in the projects they actually work on So if you're a gsk or advisor or whatever murk You discover a drug or you develop it. You don't have personal upside in the individual drug that you develop You do have various forms of asymmetric downside And so people don't take risks unless they're the same risks that the other pharma companies are taking because If you take the same risk and fail, but everybody else is failing in a therapeutic category at the same time you're safe But if you take a risk that other people aren't willing to take and you fail Then you experience budget cuts, maybe job security risks Social embarrassment, which is a big factor in big pharma as well Which in turn created an opportunity that I took advantage of which was that there were systematically categories of drugs That went undeveloped even after Big pharma had for a long time spent a lot of money developing those drugs up to a certain point So I built a business called roven basically Inlicensed some of those drugs in their early stages of development phase one or phase two Often for pennies on the dollar relative to what had gone into them Often we would have scientists or drug developers who were passionate about that very project inside the companies "
Candidate Questioning,History in Pharma,Candidate Vivek Ramaswamy,Who would come with those drugs because they wanted to develop them?,"But the big pharma company said that they weren't in that area anymore And we built a pipeline of such drugs The whole plan was some of them would work some of them wouldn't the successes would make up for the failures And it's now a ten billion dollar public company and it returned unlike many private companies you know returned a billion dollars plus to shareholders before going public and You know is is doing continues to do well to this day I led the company as CEO for seven years five of the drugs. I worked on our FDA approved today The one i'm probably most proud of is is a drug that's actually biologic that is a life-saving therapy in kids Another one's an approved drug for prostate cancer, but that was my world is the point very different world Maybe more similar to your guys's world now than the world. I'm in now Something funny happened in 2020, which was that In my own company there were demands that I make a statement on behalf of black lives matter after the george floyd It was tragic death in may of 2020 By june there were demands that I start making statements on behalf of blm And it was a funny time because only starting that february I had ventured into actually exercising my voice as a citizen While being a ceo at my own peril criticizing what was then the Still new shiny object of stakeholder capitalism So I published this piece in the wall street journal and generated some waves that february Few months later in may this george floyd controversy comes up In the long story short I can go into it if you guys are interested but over the next six months a series of escalating events led me to face a choice the following january of You know, there's three advisors to my company that stepped down after I wrote a rather I didn't intend it to be but a rather controversial piece in the wall street journal at the time"
Candidate Questioning,Wall Street Journal Article,Candidate Vivek Ramaswamy,What was the premise of the piece?,"2021 yeah, the premise of the piece was that It actually was controversial on numerous counts, but the basic premise was it was the first legal argument anybody had made That if the government is pressuring a private actor to do something That the government couldn't do directly that that was still state action Now the subtext is this was in the wake of january 6th where there was widespread systematic censorship of you know political speech in this country at least I believe there was And so at the time I made that argument it was dismissed as a conspiracy theory on the facts No, that's not happening. It was also dismissed as a legal theory, you know this Rube who It happened to go to law school for god his first year where the first amendment only applies to state actors You know now fast forward three years two and a half years We now know those facts were far worse than even I envisioned at the time And actually the legal argument that I made is now popularized by clarence thomas and others that are finding its way into our Jurisprudence, but anyway three advisors to the company found it so offensive That I would make this argument in public that within 48 hours of that piece They resigned and that was definitely a post jan 6th mood and reaction That I had to then make a choice right because now this is having potentially an adverse impact on the company I could either all right call it a year where I experimented with expressing myself and you know wearing my legal academic hat and Call that a day and continue with biotech Or legitimately if I didn't want to have an adverse impact on my company. I could step down and really speak freely I choose to I chose to step down not in small part because the company was doing great You know, I had a successor lined up. So there was a fortunate set of circumstances. It happened to be the right time I just had my first son my son car thick was born in february of 2020 He was about to turn a year old We were the transitional phase of our life covet, you know, we were we had a year away from the office My wife was filling her fellowship. There was just a lot going on in our life that it felt like this was a moment for a life transition to focus on You know, there are a lot of people talented people developing medicines Maybe some of them more talented than me, you know roving to successful company"
Candidate Questioning,Public Statements,Candidate Vivek Ramaswamy,"Did you feel like you were being bullied into making a statement about black mobs matter by your own employees? And what what your thought generally speaking on companies being politically active and companies having a political voice because it has come up In our industry over and over again, you might know brian armstrong from coinbase said hey We're here to do crypto nothing else. You wrote a whole book on this, right? I mean I read your book and it's it's a lot about the distinction between what the intention is uh In optimizing for shareholders versus the personal interests of the executives and those in charge Expressing their personal points of view through the the corporation Um, I think you had you had some points of view on where that should all go but was that in part motivating for you to run for public office and why president instead of running for a senate seat or congressional seat or something else?","so I it turns out written I wrote three books in the last Two years and two of them are about this topic The first one is woke ink which was for a general audience and then there was a second one called capitalist punishment which was specifically about the esg strand of this and capital markets And just for people who are aware my general view is that companies should focus on making products and services for people who need them Without apologizing for it. And yes, that's how you maximize profit for shareholders by having a worthy mission and sticking to it Without taking on social missions that are best carried out by institutions outside of corporate america I so much believed this that even before I ran for president. This actually does answer your question, davis I actually thought the way I was going to have impact based on this. I enjoy being an author, but I'm not By nature just an academic. I like to do things I started a company called strive. It's an asset management firm That directly competes against the likes of black rock and state street and vanguard That's what I thought my next leap was going to be Strives first fund launched last august And less than a year in it's close to a billion dollars in assets under management I think it took jp morgan two years to get to a billion when they got into the etf business That was what my journey was going to be is within corporate america Restore the unapologetic pursuit of excellence over distracting and dilutive political environmental and social agendas But the thing that struck me I think late last year and last december last year We had our second son got a new company off the ground. You all know what that entails You know it was very much an all-in experience doing that December we had some time to take a step back and you know my wife and I we Gotta take a moment to ask yourself."
Candidate Questioning,Why Running for President,Candidate Vivek Ramaswamy,Why are you doing what you're doing?,It's not a conversation you often have or take time to do but You know the question of the why And it reminded me back of that experience. I had at roving you asked me did I feel bullied I didn't actually feel bullied. I think I could imagine someone in my shoes feeling that way But I didn't feel like it was somebody cornering me to do something I didn't want to do others have had that experience That wasn't quite how it felt for me Felt like there's a group of people who followed me on this mission who look up to me who were Disappointed in me actually And I think that was much harder than feeling like I was being bullied was to have a group of people who Followed me on this worthy mission of developing medicines that pharma companies weren't that felt proud of that mission That now felt disappointed in me And that was much harder to deal with than the bullying But that also opened my eyes to the fact that I'm here stridently fighting against black rock and you know the esg industrial complex Which is a little bit of a deflection From the essence of what I actually think is going on at the real root cause especially amongst young people in the country 
Candidate Questioning,Why Running for President,Candidate Vivek Ramaswamy,What is that?,"Which is that they and this is what I saw in my employees In the experience I went through so that was formative for me. These are good people These are earnest people many of whom came it's in many ways is my fault Because the pitch that we made in recruiting we recruited from harvard and mit and everywhere else big pharma companies didn't recruit out of undergrad We did part of my pitch was hey, you want to go You know to a quant hedge fund and turn that pile of cash into bigger pile of cash Or do you want to actually Make medicines that impact people's lives and do well that way so that was part of you and my pitch going in So we select for a certain kind of person and then they come back and say they're disappointed me for not adopting unrelated social agendas What dawn on me is that young people in this country I'm a millennial you guys are young We're hungry for a cause right we're so hungry for purpose and meaning and identity And yet we're Starving for that at a time in our history when the things that used to fill that void And we can there's a lot of things that could fill that blank I talked about it today at this constitution camp here in new hampshire faith patriotism hard work family But I think there's there's some truth to a bryan armstrong told his employees a corporation With a worthy mission can help fill that void too And I think that's one of the roles that ceo's who feel like they're being bullied might miss is you You're not have people who are bullying you you have people who are lost "
Candidate Questioning,Family and Religion,Candidate Vivek Ramaswamy,"Who are looking to you for direction and purpose? You're saying it quickly, but I think that family and religion are Very very big drivers of them. ","Oh huge. Yeah, I'm just saying it quickly because I talk about that all the time but but I think the family and faith is I mean these are foundational building blocks. They're foundational I think that when you look statistically at like the decay in the number of young people who are religious or The decay in a number of young people who actually have you know two parent families All of this speaks to the fact that the social norms that gave people purpose Have actually gone, but they haven't been replaced with anything else And I think that's the vacuum that you're seeing that many of these young people fall into and so they're looking for something to your point and um The problem with that is not the causes themselves But the fact that they are short lived and then what's left over is the need for more and more and more and that Escalation I think is very dangerous if you think about where you know society goes to from here Yeah, I agree with you on that and that's why I I have been characterized and jason introduced me that way too as anti-woke I don't actually think of my I don't I don't like that label because It's it's not inaccurate. I don't like it because it's false I think it misses the point where I think the way we actually combat Fill in your favorite blank at wokeism climatism Fentanyl usage anxiety depression loss of self-confidence these things are symptoms Of a deeper void of purpose and meaning and so I don't think you help the matter much by and I've done some of this I will admit this right? Yeah, I'm not blaming other people Well, I mean but the book the book I don't have you read the book jason or not. Okay the book is It was it was titled and written before the word weapon woke took on its current political valence I will say that actually okay, many people didn't know what the word woke was at the time I titled it was fairly revelatory when you came out and used that word in your in your title It was like let me reveal to you a little bit about what this thing that I'm calling woke is turning into which is a more broader kind of social psychological Issue that we're all grappling with right how it's now leached its way into politics. It's leached its way into nonprofits. It's leached its way into corporate america Into for-profits into the military into government etc. Obviously since that Was published it has now become this hot term that has different meaning for different people and it can be pretty exciting in terms of"
Candidate Questioning,Views on Woke-ism,Candidate Vivek Ramaswamy,How people react to it?,"I appreciate you saying that Dave. Yeah, I appreciate you saying that Dave because My net prescription is actually we dilute not just wokeism. I mean that's just part of the story We dilute secular religions the rise of secular religions And I don't call them even religions because religion is withstood the test of time a cult has not but the rise of modern secular cults We dilute them to irrelevance by filling that void with an alternative vision and so you know if one Political camp might offer race and gender and sexuality and climate as a prescription for the void I think where conservatives fall badly short Is by simply being anti those things Without actually offering an alternative vision of our own and I Am aiming certainly to do that in this campaign. We're gonna replace race and gender And these kind of things what would be your uh, you know qualities or things to focus on So let's do like a little face-off right individual who talk about race gender sexuality climate I pair them up against individual family nation god okay And I think that there's a substantive vision here I think America happened to have been founded on the latter vision not the former So if i'm running for us president, I think that that already tilts the scales in favor of this vision because it so happens as a historical matter America was grounded on you know, some people will contest this but I think on that vision rather than the genetic and climate based one But I think that that's something where the republican party and conservatives have fallen short and that's part of what Dear question Jason pulled me into this Is I saw the emergence of what was likely to be a biographical brawl between two guys who are the you know front runners or whatever You know, that's not productive, but I think more importantly than a biographical brawl even the question about who we are I think the republican party and the conservative movement was in many ways defining itself in opposition to that alternative vision of identity Where what I want to do what i'm striving to do and I hope we're doing Is actually offering an affirmative vision of our own that go to the heart of what it means to be an american and You know, I don't think that national identity alone is going to fill that vacuum fully But I think it makes a pretty good darn stride forward and I think those roles for pastors and others that's beyond my pay grade And so I'm not I'm not purporting to do that in this campaign. I speak to it But that's that's going to be the role of people in a higher calling than being us president But I think the next us president can play a meaningful role in filling that vacuum At least when it comes to national identity. And so that's really what this campaign is about. It's not It's not anti-woke. It is unapologetically Nationalist in a certain sense of that word nationalist in sense of embracing those ideals That set this nation into motion that still unite us across those genetically inherited attributes that we've otherwise Celebrated over the last 10 years in this state to say you believe in american exceptionalism and that's that's your platform for running That is my platform That is absolutely my platform the exceptionalism of the ideals that set this country into motion. "
Candidate Questioning,Fiscal Issues,Candidate Vivek Ramaswamy,"Absolutely So Vivek, let me ask a question around where we are in the cycle of the american experiment where we have obviously Allowed the throttle to be full forward and as a result we've seen extraordinary progress emerge From the entrepreneurial talents and the drive of the people of this country for the past 250 years and it's really extraordinary in a transformed human civilization We now find ourselves Particularly over the past 50 years as this problem has gotten worse With increasing disparity between the haves and the have nots or those who believe they they have not Which is nearly everyone everyone now has some point of view that they have not got something And they see other people that do have something that they do not And this inequality and this perception of inequality both with respect to absolute amounts of capital income earnings And these perception issues have now driven a populist movement in this country that we have seen historically many times in the past different countries that ultimately turn into either socialist nations Or fascist nations In all cases some sort of autocratic regime seems to have emerged Because of this populist movement that we're now seeing not just in the u.s. But across the west Do you feel like we're at that moment in the u.s. And one of the manifestations of that i'll say Is government spending because everyone demands more from their government and the government steps up and the elected officials that they elect Step up and spend more and it layers and it layers and layers And we now have a 33 trillion dollar debt load And we have a one and a half trillion dollar annual deficit and by many projections social security will be bankrupt In anywhere from 10 to 15 years 10 to 20 years whatever numbers you want to use the cbo assumes we're going to have unsustainable spiraling debt What is your point of view on where we are in the cycle how it's manifesting today And how we're going to deal with the fiscal issues that arise from these movements?","And how we're going to deal with the fiscal issues that arise from these Yeah, so I think where we are in that in the cycle. I don't take that as a passive law of physics I think that who runs this country and leads this country can make an actual difference In the actual underlying course of that so-called cycle, which is part of what pulls me into this so i'm a little bit unconventional on My views on the debt load and the entitlement spending in this country and our first step in our way out of it I don't think we're in a place of having Remotely enough consensus or trust and I think trust is probably the more important word than consensus To begin just snip snip make cuts to what people feel like they were entitled to and promised Especially in a moment where we're beginning with deep distrust that will take what you call those populist flames and throw kerosene on it I do i'm more optimistic about this and I think this is quite realistic actually Is that the next leap forward is we can grow our way out of I'm not going to say all but most of our actual Fiscal calam pending fiscal calamity right this year. I mean, I think like right now last six months We're talking less than 1.5 percent annualized gdp growth what we're averaging right now for most of our national history We actually grown at over four plus percent gdp growth Certainly if you go back to the pre gold standard period and even after going off the gold standard We had a relatively stable u.s. Dollar and I am one of these weird guys who believes that the fed should have a single mandate of Dollar stability without playing the philips curve game But anyway put that sidetrack to one side We've grown at three four percent gdp growth for most of our national history Even relatively recent national history And I don't think it's a complicated path to get back there. I think things we need to do Unlock American energy. There's you know, we talk about secular religions."
Candidate Questioning,Energy Independence Plan,Candidate Vivek Ramaswamy,What was your specific energy plan be completely completely?,"Unlock the permitting process that they've used as a backdoor mechanism to shut down American energy production Drilling fracking burning coal Coal should not be a four letter word embracing nuclear energy Later tonight like after we're having this conversation this evening. I'm going to be at st. Anselm college Laying out my detail. It's going to be like a giant poster Laying out the anatomy of how I will shut down the nuclear regulatory commission Which has been a fundamentally hostile Administrative agency to the existence of nuclear power in this country Actually even to the detriment of actually making sure that we are getting our nuclear energy from gen two rather than gen three or gen four reactors But that'll be for tonight It's an all of the above approach of unshackling ourselves To produce energy here in the united states to a point about you know, Dave made a good point earlier about The addiction of paying people more from the federal government that becomes the status quo if that's your voter base That's not even good in many cases for the people we're giving that money to I think we should stop paying people to stay at home When actually the top obstacle from any businesses to grow you guys will know this well is Filling vacant job openings And so that is an obstacle to GDP growth is paying people more to stay at home than many of them Earned to go back to work."
Candidate Questioning,Inflation Reduction Act (IRA),Candidate Vivek Ramaswamy,Do you think that the IRA was good?,"legislation I don't have um, it's not like it's not like my the horse that i'm gonna, you know Ride ride in terms of like the main i'm gonna pin everything on it But but I mostly don't think it was it was great legislation Uh, what like where are you coming from on that because I we might have different reasons If you think about what the IRA does for energy and frankly if you just roll up The bil chips and ira. I'm just curious your thoughts on whether Government incentives are moving in that direction that you actually support or you still think it's it's missing something well, so one of the things that I actually focus on and I think it's really important is What can the u.s. President actually do I mean president trump's I don't know people remember this his main promise policy promise was actually repeal and replace obamacare, which never happened because it required going through congress So i'm actually focused on elements that I can deliver on without asking congress either for permission or forgiveness And so that's my answer to jason was I go straight to at least let's focus on actually The administrative state which on my reading of the constitution reports in to the single duly elected president So when I talk about the permitting process at the department of interior or shutting down the nuclear regulatory commission I believe in you know, we could go i'm going into details on it tonight I have the legal authority to do that as the u.s."
Candidate Questioning,Social Welfare,Candidate Vivek Ramaswamy,Is that what i'm reading and tie them and tie them to work requirements?,"Absolutely Yeah, would you have a specific for that like a certain number of months or you know, yeah A pretty good a pretty good. I mean that's all a negotiation, but I think a good principle Is 1996 or in the 1990s work fair under clinton was actually far more aggressive Than the work environment work requirements that were put into this supposed republican led debt deal where Like what did they say it was if you're age 18 to 55 And you are able bodied and childless Then you have to work at least 20 hours a week in order to receive More than three months out of three years worth of welfare, right? Now joe biden as a u.s. Senator voted for actually much more Stringent work fair requirements in the 90s. So you know, yes, I have ideas on specifics But i'm not going to make a promise on exactly what that specific will look like But a guiding principle is it has to be at least as aggressive as what we have I mean to your point during clinton we had 69 almost 70 participation and we're at 60 now I think so It's obvious that we have to trim that but to chumat's next point, you know, we have 10 million job openings We're not letting anybody in."
